article_id,review_id,eppi_id,citation,authors,title,year,type,journal,country,region,location,mine,latitude,longitude,unique_mine,metals,multiple_metals,metals_all,mine_type,stage_prospecting,stage_exploration,stage_construction,stage_operation,stage_decommissioning_closure,stage_postclosure,stage_remediation,stage_abandonment,stage_expansion,comment,study_design,study_design_comments,comparator,setting,context,population_description,population_system,affected_system,affected_component,affected_factor,impact_pathway,mitigation,mitigation_description,mitigation_focal_impact,outcome_measured,outcome_category,data_type,data_source,notes,link
68,AS,,"Gromova VA, Shestakova TV and Lipatnikova OA. 2016. Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of the Urupsky Ore Mining. Moscow University Geology Bulletin. 71(6): 407-415","Gromova VA, Shestakova TV and Lipatnikova OA",Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of the Urupsky Ore Mining,2016,Article,Moscow University Geology Bulletin,Russia,Karachay-Cherkessia,Bogachukha and Urup Rivers,Urupsky,43.8149258,41.1709023,Urupsky,Copper,N/A,Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of an ore mining and dressing plant,Background values,Field + Lab analysis,in situ,The bottom sediments were sampled from the river channels ,Environmental,2-Water,2D-Sediment,2D-Quality,Impact area of the abandoned tailing dump of the Urupsky Ore Mining,no,N/A,N/A,Trace elements in the bottom sediments of the Bogachukha and Urup rivers,Metal concentration,Quantitative,Table 3,,http://scholar.google.co.uk/scholar?q=Ecological-geochemical+evaluation+of+the+state+of+surface+water+streams+in+the+impact+area+of+the+ta&btnG=&hl=en&as_sdt=0%2C5
271,AS,,"Crowder A, Dushenko WT, Greig J, and Poland JS. 1989. Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada. Hydrobiologia. 188/189: 337-343.","Crowder A, Dushenko WT, Greig J, and Poland JS","Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada",1990,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Investigating possible metal contamination of submerged weed beds and marsh biota which may contribute to the low diversity and biomass of macrophyte beds and Typha marshes in the Bay. Sediment, macrophytes and snails were sampled in wetlands close to the Moira River and at Hay Bay (part of the Bay of Quinte presumably unaffected by mine effluents)",Reference site/population,Field + Lab analysis,in situ,Sediment and submerged macrophytes,Environmental,2-Water,2D-Sediment,2D-Quality,Elevated levels of metals originating from old mining sites in the Moira River drainage basin which were active from the 1880's to 1960's,no,N/A,N/A,Element concentrations,Metal concentration,Quantitative,Table 1-3,,"http://scholar.google.co.uk/scholar?q=Metal+contamination+in+sediments+and+biota+of+the+Bay+of+Quinte,+Lake+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
427,AS,,"Bogush AA, Voronin VG, Tikhova VD, and Anoshin GN. 2016. Application of a Peat-Humic Agent for AMD Remediation and Element Removal. Drebenstedt, Carsten, Paul, Michael (eds.) Proceedings IMWA 2016, Mining Meets Water – Conflicts and Solutions: 1376-1382.","Bogush AA, Voronin VG, Tikhova VD, and Anoshin GN",Application of a Peat-Humic Agent for AMD Remediation and Element Removal,2016,Conf,N/A,Russia,Novosibirsk; Chelybinsk; Kemerovo; Altay,Regional,Altay; Belovo; Karabashmed; Ursk,55.4692038,60.200233,Multiple,Multiple,Zinc; Gold,Zinc; Gold,Unclear,N,N,N,Y,N,N,N,N,N,Tailings tested from multiple mines and processing plants,CI,Drainage water from the tailings were used for AMD treatment experiments using multiple materials,Control,Lab Experiment,ex situ,Leachate from tailings remediation experiments,Environmental,2-Water,2B-Groundwater ,2B-Quality,Acid mine drainage generation,yes,"New peat-humic agent (PHA) using mechanical, chemical, and thermobaric treatment",Removed potentially toxic elements and increased the pH of all treated AMDs,Element Removal from AMD,Mitigation measure/change in measure,Quantitative,Table 1,,http://scholar.google.co.uk/scholar?q=Application+of+a+Peat-Humic+Agent+for+AMD+Remediation+and+Element+Removal&btnG=&hl=en&as_sdt=0%2C5
271,AS,,"Crowder A, Dushenko WT, Greig J, and Poland JS. 1989. Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada. Hydrobiologia. 188/189: 337-343.","Crowder A, Dushenko WT, Greig J, and Poland JS","Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada",1990,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Investigating possible metal contamination of submerged weed beds and marsh biota which may contribute to the low diversity and biomass of macrophyte beds and Typha marshes in the Bay. Sediment, macrophytes and snails were sampled in wetlands close to the Moira River and at Hay Bay (part of the Bay of Quinte presumably unaffected by mine effluents)",Reference site/population,Field + Lab analysis,in situ,Sediment and submerged macrophytes,Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Elevated levels of metals originating from old mining sites in the Moira River drainage basin which were active from the 1880's to 1960's,no,N/A,N/A,Element concentrations,Metal concentration,Quantitative,Table 1-3,,"http://scholar.google.co.uk/scholar?q=Metal+contamination+in+sediments+and+biota+of+the+Bay+of+Quinte,+Lake+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
271,AS,,"Crowder A, Dushenko WT, Greig J, and Poland JS. 1989. Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada. Hydrobiologia. 188/189: 337-343.","Crowder A, Dushenko WT, Greig J, and Poland JS","Metal contamination in sediments and biota of the Bay of Quinte, Lake Ontario, Canada",1990,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Investigating possible metal contamination of submerged weed beds and marsh biota which may contribute to the low diversity and biomass of macrophyte beds and Typha marshes in the Bay. Sediment, macrophytes and snails were sampled in wetlands close to the Moira River and at Hay Bay (part of the Bay of Quinte presumably unaffected by mine effluents)",Reference site/population,Field + Lab analysis,in situ,Snail samples (Planorbella trivolvis and Stagnicola elodes),Environmental,4-Biodiversity,4B-Fauna,4B-Individual species,Elevated levels of metals originating from old mining sites in the Moira River drainage basin which were active from the 1880's to 1960's,no,N/A,N/A,Element concentrations,Metal concentration,Quantitative,Table 1-3,,"http://scholar.google.co.uk/scholar?q=Metal+contamination+in+sediments+and+biota+of+the+Bay+of+Quinte,+Lake+Ontario,+Canada&btnG=&hl=en&as_sdt=0%2C5"
275,AS,,"Mudroch A and Capobianco JA. 1979. Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes. Hydrobiologia. 64(3): 223-231",Mudroch A and Capobianco JA,"Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes",1979,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As were deter- mined in aquatic sediments, water and macrophytes co",Reference site/population,Field + Lab analysis,in situ,"Surface water in Wolfe Lake, Moira River, Moira Lake and Stoco Lake",Environmental,2-Water,2A-Surface water,2A-Quality ,Contaminated by mine effluents,no,N/A,N/A,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As",Metal concentration,Quantitative,Table 3,,"http://scholar.google.co.uk/scholar?q=Effects+of+mine+effluent+on+uptake+of+Co,+Ni,+Cu,+As,+Zn,+Cd,+Cr+and+Pb+by+aquatic+macrophytes&btnG=&hl=en&as_sdt=0%2C5"
275,AS,,"Mudroch A and Capobianco JA. 1979. Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes. Hydrobiologia. 64(3): 223-231",Mudroch A and Capobianco JA,"Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes",1979,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As were deter- mined in aquatic sediments, water and macrophytes co",Reference site/population,Field + Lab analysis,in situ,"Sediment samples in Wolfe Lake, Moira River, Moira Lake and Stoco Lake",Environmental,2-Water,2D-Sediment,2D-Quality,Contaminated by mine effluents,no,N/A,N/A,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As",Metal concentration,Quantitative,"Table 1-2, 4",,"http://scholar.google.co.uk/scholar?q=Effects+of+mine+effluent+on+uptake+of+Co,+Ni,+Cu,+As,+Zn,+Cd,+Cr+and+Pb+by+aquatic+macrophytes&btnG=&hl=en&as_sdt=0%2C5"
275,AS,,"Mudroch A and Capobianco JA. 1979. Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes. Hydrobiologia. 64(3): 223-231",Mudroch A and Capobianco JA,"Effects of mine effluent on uptake of Co, Ni, Cu, As, Zn, Cd, Cr and Pb by aquatic macrophytes",1979,Article,Hydrobiologia,Canada,Ontario,Bay of Quinte,Moira River,44.1775728,-77.2316107,Moira River,Multiple,Iron; Gold; Copper,Iron; Gold; Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As were deter- mined in aquatic sediments, water and macrophytes co",Reference site/population,Field + Lab analysis,in situ,Aquatic macrophytes ,Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Contaminated by mine effluents,no,N/A,N/A,"Concentrations of Ni, Co, Cu, Pb, Zn, Cd, Cr and As",Metal concentration,Quantitative,Table 5-7,,"http://scholar.google.co.uk/scholar?q=Effects+of+mine+effluent+on+uptake+of+Co,+Ni,+Cu,+As,+Zn,+Cd,+Cr+and+Pb+by+aquatic+macrophytes&btnG=&hl=en&as_sdt=0%2C5"
480,AS,,"Shul'kin VM, Chernova EN, Khristoforova NK, and Kozhenkova SI. 2015. Effect of mining activities on the chemistry of aquatic ecosystem components. Water Resources. 42(7): 843-853.","Shul'kin VM, Chernova EN, Khristoforova NK, and Kozhenkova SI",Effect of mining activities on the chemistry of aquatic ecosystem components,2015,Article,Water Resources,Russia,Primorsky Krai,Rudnaya River,Sikhote Alin Ridge,44.3,135.4,Sikhote Alin Ridge,Multiple,Lead; Zinc; Copper,Lead; Zinc; Copper,Unclear,N,N,N,Y,N,N,N,N,N,,Correlative,"Determine is there any correlation between changes in Rudnaya water chemistry, which show an integral effect of effluents, and variations of anthropogenic load in the recent 25– 30 years. Trends in variations of metal concentrations in macrophyte algae, inhabiting coastal sea waters and subject to the effect of pollutants delivered through both the air and the runoff of the Rudnaya R",Background values,Field + Lab analysis,in situ,Rudnaya R. Water Chemistry,Environmental,2-Water,2A-Surface water,2A-Quality ,Pollutants delivered through both the air and the runoff of the Rudnaya R.,no,N/A,N/A,Water chemistry,Water quality,Quantitative,Figure 4,Temporal variation,http://scholar.google.co.uk/scholar?q=Effect+of+mining+activities+on+the+chemistry+of+aquatic+ecosystem+components&btnG=&hl=en&as_sdt=0%2C5
480,AS,,"Shul'kin VM, Chernova EN, Khristoforova NK, and Kozhenkova SI. 2015. Effect of mining activities on the chemistry of aquatic ecosystem components. Water Resources. 42(7): 843-853.","Shul'kin VM, Chernova EN, Khristoforova NK, and Kozhenkova SI",Effect of mining activities on the chemistry of aquatic ecosystem components,2015,Article,Water Resources,Russia,Primorsky Krai,Rudnaya River,Sikhote Alin Ridge,44.3,135.4,Sikhote Alin Ridge,Multiple,Lead; Zinc; Copper,Lead; Zinc; Copper,Unclear,N,N,N,Y,N,N,N,N,N,,Correlative,"Determine is there any correlation between changes in Rudnaya water chemistry, which show an integral effect of effluents, and variations of anthropogenic load in the recent 25– 30 years. Trends in variations of metal concentrations in macrophyte algae, inhabiting coastal sea waters and subject to the effect of pollutants delivered through both the air and the runoff of the Rudnaya R",Background values,Field + Lab analysis,in situ,Macrophyte algae inhabiting coastal sea waters,Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Pollutants delivered through both the air and the runoff of the Rudnaya R.,no,N/A,N/A,Metal concentrations,Metal concentration,Quantitative,Figure 5-7,Temporal variation,http://scholar.google.co.uk/scholar?q=Effect+of+mining+activities+on+the+chemistry+of+aquatic+ecosystem+components&btnG=&hl=en&as_sdt=0%2C5
205,AS,,Hegadoren DB and Day JC. 1981. Socioeconomic mine termination policies. A case study of mine closure in Ontario. Resource Policy: 265-272.,Hegadoren DB and Day JC,Socioeconomic mine termination policies. A case study of mine closure in Ontario,1981,Article,Resources Policy,Canada,Ontario,Marmora,Marmoraton Mining Company,44.4813087,-77.6610232,Marmoraton Mining Company,Iron,N/A,Iron,Surface mine,N,N,N,N,N,Y,N,N,N,,BA,Documents and evaluates government and non-government arrangements to ameliorate detrimental socioeconomic impacts of the Marmoraton Mining closure,Same site/pop- Before,Social Science,ex situ,"The mining town of Marmora, a resource-based economy",Social,5-Human environment,5B-Economic,5B-Jobs (new employments),Closure of the Marmoraton Mining Company,yes,Local hiring policies; Assistance securing alternative employment,Loss of annual payroll and trade,Marmoraton closure planning,Community,Qualitative,All,,http://scholar.google.co.uk/scholar?q=Socioeconomic+mine+termination+policies.+A+case+study+of+mine+closure+in+Ontario&btnG=&hl=en&as_sdt=0%2C5
284,AS,,"Ellis DV, and Hoover PM. 1990. Benthos recolonizing mine tailings in British Columbia fjords. Marine Mining. 9: 441-457","Ellis DV, and Hoover PM",Benthos recolonizing mine tailings in British Columbia fjords,1990,Article,Marine Mining,Canada,British Columbia,Vancouver Island,Amax/Kitsault; Anaconda; Britannia Beach; Island Copper,50.5949464,-127.4834817,Multiple,Multiple,Copper; Molybdenum,Copper; Molybdenum,Open pit,N,N,N,Y,N,N,N,Y,N,,CI,A comparison of the benthic species occuring in three BC fjords into which mine tailings have been discharged to demostrate colonizing species which mey be targeted for reclamation of fishery feedstock,Reference site/population,Field + Lab analysis,in situ,Benthic species in fjords of British Columbia,Environmental,4-Biodiversity,4B-Fauna,4B-Species distribution,Mine tailings discharged into the fjord,no,N/A,N/A,Species presence; abundance,Species biomass/distribution,Quantitative,Table 1-6,,http://scholar.google.co.uk/scholar?q=Benthos+recolonizing+mine+tailings+in+British+Columbia+fjords&btnG=&hl=en&as_sdt=0%2C5
